SYMBOL,SCORE
braf,16
grin2a,29
ptprt,29
smarca4,4
nras,6
cdkn2a,6
egfr,9
nf1,3
tp53,6
atm,2
fbxw7,3
kmt2c,5
mtor,1
pten,3
rb1,1
setd2,1
keap1,2
msh6,4
nfe2l2,1
kmt2d,1
fat1,1
